sample-id	GNomexID	num	orig_name	orig_type	correct_type	mouse	day	day_num	sex	treatment	cage	body_wt	TD	Index_F	Index_R	Raw_forward_reads
8_1_D7	20492X141	141	8_10_D7	mouse	mouse	8_1	D7	7	F	control	8a	19.6	control_D7	i718	i513	0.9
8_1_D21	20492X164	164	7_30_D21	mouse	mouse	8_1	D21	21	F	control	8a	20.6	control_D21	i721	i512	1.2
8_10_D0	20492X117	117	8_2_D0	mouse	mouse	8_10	D0	0	F	ALB	8b	18.35	ALB_D0	i715	i513	1.1
8_10_D7	20492X140	140	8_1_D7	mouse	mouse	8_10	D7	7	F	ALB	8b	18.5	ALB_D7	i718	i512	0.9
8_10_D21	20492X163	163	7_3_D21	mouse	mouse	8_10	D21	21	F	ALB	8b	18.25	ALB_D21	i721	i511	1.3
8_2_D0	20492X116	116	8_10_D0	mouse	mouse	8_2	D0	0	F	control	8a	18.65	control_D0	i715	i512	1.2
8_2_D7	20492X139	139	7_30_D7	mouse	mouse	8_2	D7	7	F	control	8a	19.1	control_D7	i718	i511	1
8_2_D21	20492X162	162	7_2_D21	mouse	mouse	8_2	D21	21	F	control	8a	18.5	control_D21	i721	i510	1.4
8_30_D0	20492X115	115	8_1_D0	mouse	mouse	8_30	D0	0	F	ALB	8b	20.2	ALB_D0	i715	i511	0.1
8_30_D7	20492X138	138	7_3_D7	mouse	mouse	8_30	D7	7	F	ALB	8b	19.85	ALB_D7	i718	i510	0.9
8_30_D21	20492X161	161	7_1_D21	mouse	mouse	8_30	D21	21	F	ALB	8b	20.1	ALB_D21	i721	i509	1.7
9_12_D0	20492X114	114	7_30_D0	mouse	mouse	9_12	D0	0	F	MTZ	9	19.5	MTZ_D0	i715	i510	1.3
9_12_D7	20492X137	137	7_2_D7	mouse	mouse	9_12	D7	7	F	MTZ	9	19.5	MTZ_D7	i718	i509	1
9_12_D21	20492X172	172	MD5_Blank3	ExtBlank	mouse	9_12	D21	21	F	MTZ	9	18.9	MTZ_D21	i722	i512	1.3
9_2_D0	20492X113	113	7_3_D0	mouse	mouse	9_2	D0	0	F	MTZ	9	21.8	MTZ_D0	i715	i509	1.6
9_2_D7	20492X152	152	5_1_D21	mouse	mouse	9_2	D7	7	F	MTZ	9	20.9	MTZ_D7	i719	i516	1.1
9_2_D21	20492X171	171	MD5_Blank1	ExtBlank	mouse	9_2	D21	21	F	MTZ	9	20.85	MTZ_D21	i722	i511	1.2
MD3_Blank1	20492X128	128	5_2_D7	mouse	ExtBlank	MD3_Blank1	blank	blank						i716	i516	0.2
